,0,1,gold_simple
2845,loaded,filled-in,0
2846,voluntary associations,fellowship,1
2847,going away,going,1
2849,katharine,catherine,1
2850,the surgery,operate,0
2851,the capsule,shuttle,1
2853,practiced,applied,0
2854,makeshift,alternate,1
2856,5-year-old,5-year,1
2857,vote,the voices,0
2858,"hey , catherine",catherine,1
2860,genome,gene,1
2861,genus,genre,1
2862,was declared,pronounced,0
2863,the legislative,legal,1
2864,it possible,feasible,0
2865,to remain,maintains,0
2867,has come,arrived,0
2868,the protection of,shelter,1
2870,the pills,medicines,0
2871,graduated,educated,1
2872,shadow,shaded,1
2873,impact,consequence,0
2874,alexander,aleksander,1
2875,waters,shores,0
2876,myself,my mind,0
2877,debris,catering waste,0
2878,write-offs,erase,1
2879,lavish,beautiful,1
2880,kind of,fairly,0
2881,seemingly,probably,1
2882,regional arrangements,arrangement,1
2883,trend,attitudes,0
2884,sanitation services,sanitation,1
2886,remarkably,amazingly,1
2887,progresses,is proceeding,0
2888,the shadows,shade,1
2889,table-ready,ready-to-eat,1
2890,recurrent,day-to-day,1
2891,proposition,proposals,1
2892,calculus,calculating,1
2893,exited,came out,1
2894,50th,50,1
2895,markedly,dramatically,1
2897,rafts,canoes,0
2898,normal,day-to-day,0
2899,pursuing,carried out,1
2900,shunned,has been rejected,1
2901,declines,decays,0
2902,plains,flats,0
2903,sustainable,long-lasting,1
2904,towards,to the,1
2907,researches,enquiries,0
2908,spirited,fiery,1
2910,chairman,a president,1
2911,request,asked for,1
2912,thoughts,brains,1
2913,overly,amply,0
2915,would,is able to,0
2917,to grow,increasing,0
2918,seeking,asked for,1
2919,digital,computer-assisted,0
2920,the kids,junior,0
2921,the capital,investments,1
2922,span,lifespan,1
2923,really surprised,amazed,0
2924,scarce,not many,1
2925,laid off,cut,1
2926,progresses,is moving ahead,1
2927,the entrance,entry,1
2928,historically,customarily,1
2930,to assist,contribute,1
2931,waiting,wait any longer,0
2933,facility is,establishment,1
2934,butchery,butcher,1
2935,scales,gauges,1
2936,guardian,a guard,1
2937,both of,2,1
2938,locations,a site,1
2941,shade,darkness,0
2942,very strong,intense,0
2943,village,town,1
2945,had expected,expects,1
2946,thinks fit,thinks,1
2947,colombia,a nation,1
2948,returns,back in,1
2949,uncertain,shady,0
2950,health problems,health,1
2951,ties,any connection,0
2952,wrong,is a problem,0
2953,using,reused,1
2954,terms,standards,0
2955,selectivity,selective,1
2958,the instructions,directive,0
2959,was identified,uncovered,1
2960,lot,a pile,0
2961,the music,jazz,0
2962,measures taken,arrangement,0
2963,lawns,grounds,0
2964,our youth,minors,0
2965,their children,son,1
2966,zones,the district,0
2967,to grow,rose,0
2968,technologies,computers,1
2969,skirts,dresses,1
2970,revealed,exposed,1
2971,schoolchildren,elementary school,0
2972,van,truck,1
2974,the machinery,machine,1
2975,sensors,radars,1
2980,would follow,follows,1
2981,very strong,fierce,0
2982,shindig,prom,1
2983,next,another one,0
2984,late,falling behind,0
2990,punches,knocks,1
2992,letters,envelopes,0
2993,investments,distributions,0
2994,managing director,leader,1
2995,that region,parts,1
2997,shot,getting hurt,1
2998,wishes,intended to,0
3000,very strong,forceful,1
3004,database,a data,1
3006,saturdays,saturday afternoon,1
3007,view,the opinions,1
3008,basketball,ball,1
3009,township,the city,1
3010,those services,service,1
3011,scheme,outline,1
3013,walk out,left,1
3015,distraction,disruption,1
3017,is using,consumes,1
3018,predicts,is expected,1
3020,example,a model,0
3021,policeman,police officers,0
3022,superior,higher,1
3024,splendid,lavish,1
3025,police officers,police,1
3026,mediterranean,euromediterranean,1
3027,hands,a finger,1
3028,place,a site,0
3029,to eat,bite,1
3030,neighbor,nearby,1
3032,resting,napping,1
3033,client,a customer,1
3037,downgrade,degrade,1
3038,polygon,pentagon,1
3039,uploads,loads,1
3040,happiest,glad,1
3042,intel-based,intel,1
3043,topics,aspects,0
3044,volunteering,voluntary,1
3045,tallest,hugest,1
3046,the demonstration,display,1
3047,fracturing,fracture,1
3048,mention,a note,1
3049,the park,parks,1
3050,handy,able to help,1
3052,well-known,aware of,1
3053,is leaving,go,1
3055,the elders,aging,1
3056,returnee,comeback,1
3060,re-election,re-elected,1
3061,rushing,hurry up,1
3062,the rocket,missile,0
3063,examples,a model,0
3065,models,demonstrations,0
3066,technology,biotechnology,0
3067,the customer,consumers,0
3068,cluttered,busy,1
3069,toward,to the,1
3070,unrelated,non-related,1
3071,lunchroom,cantina,0
3074,the vessel,containers,1
3076,understand,defined as,1
3077,they are buying,shopping,0
3078,energize,activate,1
3079,lofty,ambitious,1
3080,agency,a branch,1
3081,watching,'s watching,1
3082,good enough,adequate,0
3084,fifty,50th,1
3085,have fallen,decreasing,0
3086,specification,norm,1
3087,temptation,inducement,0
3088,gone down,diminish,0
3089,opt out,declined,1
3090,reasons,purpose,0
3091,the origin,roots,1
3092,revive,restart,1
3093,that report,coverage,0
3094,investigated,conduct investigations,0
3095,valet,servant,1
3097,fierce,barbaric,0
3098,the scepticism,skepticism,1
3100,testers,gauges,0
3101,observed,commemorate,0
3104,website,a site,1
3105,allys,allies,1
3106,dodge,avoid,1
3107,increases,grow up,1
3108,the opportunity,chances,1
3109,is able to,could,1
3111,saturated,saturate,1
3112,amount,a huge amount,0
3113,give up on,abandoned,0
3114,threads,dresses,1
3115,new ideas,idea,1
3116,low-technology,low-tech,1
3117,fibres,fibers,1
3118,the collection,roundup,0
3119,unrelated,independent,0
3120,removes,erase,0
3121,the rooms,quarters,0
3122,has created,generated,1
3123,teaching,seminar,0
3124,requested,asked for,1
3125,subject,objective,0
3128,hostile,harmful,1
3129,shunned,dismiss the application,0
3131,to grow,thrives,0
3132,consciousness,awareness of,1
3133,wretched,cursed,1
3134,was occupied,occupation,0
3135,marrow,bone-marrow,0
3136,the lawyer,counsel,0
3137,occupation,", occupying",0
3138,the house,household,0
3139,was saying,concluded,0
3140,drainage,canal,1
3141,canadian and,canada,1
3142,proposed,be offered,1
3143,resting,lying,0
3144,truce,respite,0
3145,conduct,are held,1
3147,target,destination,0
3149,co-authors,authors,1
3150,the scale,levels,1
3151,systems,schemes,0
3152,engaged,be involved in,1
3153,would say,told,1
3154,politician,a political one,0
3155,importance,a major,1
3156,self-esteem,self-confidence,1
3157,monday 's,day,1
3158,noted that,mention,1
3160,countries in africa,africa,1
3164,relaxing,relaxed,1
3165,dust,debris,0
3167,involved,including,1
3168,christian,catholic,1
3169,chloe,'s chloe,0
3170,decision,decide,1
3172,strictly,carefully,1
3173,men,armed men,0
3174,the urgency,necessity,1
3176,hungry,'m hungry,1
3177,the liberty,freedom,1
3178,cornerstone,centerpiece,1
3179,"january 2006 ,",2006,1
3180,the 1970s,1970,1
3181,highest-level,high-level,1
3182,large,a big one,0
3184,would follow,would,1
3185,"occupation forces ,",occupation,1
3186,sheltered,conserved,1
3189,historically,a tradition,1
3191,the continued existence,persistent,1
3192,downtown,city hall,0
3193,storytelling,myth,0
3194,have been assessed,evaluated,1
3195,installed,installation,0
3196,kind of,almost,1
3197,repaired,rebuilt,0
3199,themselves,the men,1
3200,residential areas,residence,1
3201,gone down,decreasing,0
3202,widening,to grow,1
3205,scare,get scared,1
3206,one example,evidence,0
3207,young man,young,1
3208,scale,greatness,0
3209,tallest,largest,1
3210,mr alexander,alexander,1
3211,treasures,cherishes,1
3212,lexicon,dictionary,1
3213,ms. anderson,anderson,0
3214,they all,everybody,1
3217,steady,continued,0
3219,jacky,jackie,1
3221,will provide,given,1
3222,throat,the neck,1
3223,has reached,completed,1
3226,ninth,9th,1
3227,observing,are seeing,1
3228,gaps,deficits,0
3229,plenty,a huge amount,1
3231,them,that people,0
3233,supported,is favourable,1
3235,the opportunities,possibility,1
3236,weapons,armed,0
3237,new york,manhattan,0
3238,their mind,brains,1
3239,reused,reissued,0
3240,containers,cartons,1
3241,very happy,glad,0
3242,tenacious,persistent,1
3243,the cargo,shipments,1
3244,really glad,glad,1
3245,the wife,married,1
3246,one example,instances,0
3247,existed,continue to exist,0
3248,type,genus,0
3249,taiwanese,taiwan,1
3251,describing,defining,1
3252,pests,bees,1
3253,the crowds,public,0
3254,catches,captures,0
3256,that job,employment,0
3257,weak,is low,1
3258,recurring,periodically,0
3259,just as well,alike,1
3260,estate,building,1
3261,meantime,as currently,0
3262,very convenient,handy,1
3264,prey,game,1
3265,to buy,purchased,0
3266,going away,disappear,0
3267,one example,one,1
3268,identified,been known,1
3269,the united states,federal,0
3271,hawk,eagle,1
3272,rebound,backlash,0
3273,area,a site,0
3275,strucked,plagued,1
3276,boards,board,1
3277,nowadays,as of now,0
3279,zone,that region,1
3281,the vicinity,approximately,1
3285,was saying,mentioned,0
3286,are now,are,1
3287,pointed,noted that,0
3289,cesare,cesar,1
3290,forwarder,forward,1
3291,challenges,a hard time,1
3292,seize,kidnap,1
3293,the wilderness,desert,1
3295,seeks,asked for,1
3296,them,the men,0
3297,most useful,handy,1
3298,photos,a poster,0
3299,its goal,intention,0
3300,thrilled,really great,1
3301,freely,free of charge,0
3302,slams,shuts,1
3304,decline,are low,1
3305,self-worth,self-esteem,1
3306,my mother,momma,1
3307,dictionary,descriptive,0
3309,the scores,scoring,1
3310,goes through,continues,0
3312,nerves,brains,1
3313,mythical,myth,1
3314,secretly,secretely,1
3315,humming,hum,1
3317,challenge,a hard time,1
3318,florida,fla.,0
3321,contamination,contaminated soils,0
3322,the woman,mrs.,0
3323,overlooked,is forgotten,1
3326,preparing for,preparation,1
3328,join,catch up,0
3329,recreational facilities,recreational,1
3330,the boom,explosions,0
3331,the behavior,conducts,0
3332,criteria,conditions,1
3333,observers,observer status,0
3334,plains,floodplains,0
3335,closings,clasps,0
3337,old people,old,1
3339,zip,compressed,0
3340,the sands,sand,1
3341,pre-trial detention,custody,1
3342,crates,cartons,1
3344,extracts,collects,1
3346,unremitting,persistent,1
3347,refuse,opt out,0
3348,possible,i could,1
3349,union,the federation,0
3350,increases,adding to,1
3351,shuts,seals,0
3352,semen,donor semen,0
3353,models,alternative models,0
3354,shortfalls,its deficit,0
3355,current situation,conditions,1
3356,updating,update,1
3358,gale,blizzard,1
3359,musicians,bands,1
3360,will provide,provides,1
3361,wide-scale,large-scale,1
3362,downloading,'redownloading,0
3363,school buildings,buildings,1
3364,the rooms,room,1
3366,stimulate,attract,1
3367,wounded,injury,1
3368,to assist,aids,1
3369,discomfort,awkwardness,0
3371,receives,get them,1
3372,its existence,evidence,1
3373,the people,strangers,0
3374,zip,postcode,0
3376,quit,give up on,1
3377,the vehicles,automotive,0
3378,packages,kits,0
3381,location,a site,1
3382,annoying,angered,1
3383,the company 's,company,1
3384,sleeping,go to sleep,1
3385,cocoa,coco,1
3387,5.3 per cent,5.3,1
3388,resistance,backlash,1
3389,confiscated,been seized,1
3390,is applied,implemented,0
3394,the gulf,bay,1
3396,mri,imaging,0
3397,identifications,designation,1
3398,hungarian-language,hungarian,1
3400,goes through,approved,1
3401,modeling,business models,0
3402,witness,will see,1
3403,temptation,charm,1
3404,little,is low,1
3405,performed,acted upon,0
3406,belatedly,afterward,1
3407,mountainside,mountain,1
3408,portrayed,imagined,1
3409,southern lebanon,lebanon,1
3411,minister anderson,anderson,1
3412,sought out,pursued,0
3413,will provide,delivers,1
3414,more strongly,greater,1
3416,impress,convince,1
3417,universitaires,educators,1
3418,ruins,destroys,1
3419,the men,humans,0
3420,6.5 per cent,6.5,1
3421,subsidies,sponsors,1
3422,is defending,advocates,0
3423,diversity,diverse cultures,1
3424,grew,are increasing,0
3426,hives,a rash,1
3427,cautiously,carefully,1
3428,relatively small,relatively,0
3429,talent,knack,1
3430,her position,functions,0
3432,spikes,nails,1
3435,watercrafts,rafts,1
3436,drew up,created,1
3437,permit,made possible,1
3439,typhoon,the hurricane,1
3441,participating,be involved in,1
3442,"johannesburg , south africa ,",johannesburg,1
3443,has increased,enhanced,0
3444,centre-piece,centerpiece,1
3445,caught,being held,1
3446,worth,self-esteem,0
3447,storm,rage,1
3448,those services,divisions,0
3449,north america,americas,1
3451,unanimously,acting unanimously,1
3452,volunteering,volunteer,1
3453,the likelihood,possibly,1
3455,weekend,last weekend,1
3456,websites,a site,1
3457,the shooter,killer,1
3459,lunchroom,commissary,0
3460,secretly,quietly,1
3461,the executive,chief,1
3463,sector,area that,1
3464,recent developments,nowadays,1
3465,further discussion,debates,1
3466,raises,has increased,0
3467,inserted,adding to,1
3468,one or two,couple,0
3469,that people,everyone,0
3470,of,kind of,0
3471,the slide,decline,1
3472,thrilled,like it,1
3473,information,a brief,0
3474,pretty soon,almost,1
3475,creature,beast,1
3476,the goal,aim,0
3478,plane,helicopter,0
3479,north america,american,1
3480,that level,standard,0
3482,grand,a big one,1
3483,stopped,are done,0
3484,tracking down,tracked,1
3485,sleep it off,resting,1
3486,muffins,cupcakes,1
3487,ruins,debris,1
3489,one or two,one,1
3490,mondays,monday 's,1
3491,wounded,bloodied,1
3492,zip,zero,1
3493,nut,lost my mind,1
3495,invoke,evoke,1
3496,zip,be zero,1
3497,great,famously,0
3498,journalist,a reporter,1
3500,the lawyer,advocate,0
3501,saying that,commented,0
3502,officials,an officer,1
3503,mould,fungal,0
3504,differences,a gap,0
3506,grown,grow up,1
3507,era,century,1
3509,local,hometown,0
3511,truce,ceasefire,0
3512,economies,economic efficiency,1
3513,houses,buildings,0
3514,unskilled,uneducated,1
3515,fighting,fight back,0
3516,managing director,administrator,1
3517,analyzes,analyze,1
3518,st.,boulevard,0
3520,the company 's,business,0
3521,threatening,harming,1
3522,borrowing,acquiring,0
3523,actively,active participants,0
3524,watching,take a look at that,1
3525,go down,decline,0
3526,rising,going up,1
3527,is using,employ,0
3528,decision,agreed,1
3530,to grow,increase,0
3533,reduces,fewer,1
3534,computers,computerized systems,0
3535,expensive,cost-intensive,0
3537,centre,centerpiece,1
3538,skip,should be avoided,0
3539,conservation,be preserved,1
3541,lots,lawns,0
3542,frontrunner,forefront,1
3543,poster,posted,1
3547,the vessel,ship,1
3548,pin,fastener,0
3549,answered,answer those questions,1
3550,practiced,being complied with,0
3552,tall,a big one,0
3553,frozen solid,froze,1
3554,devoted,commited,1
3556,guardians,a guard,1
3557,researches,research findings,0
3558,grown-ups,elders,0
3559,values,believes,1
3560,defines,defined as,1
3561,masses,a pile,1
3562,to happen,occurred,0
3563,workforce,occupation,1
3564,is possible,can,1
3567,updating,renovating,0
3568,was falling,reduced,0
3569,modified,amend them,0
3571,permanently,definitively,0
3572,demonstrations,demonstrates,1
3573,calcium,ca,0
3575,time,the timing,0
3576,passed,goes through,1
3578,colombiana,colombian,1
3579,shadow,darkness,0
3580,add,accompanied by,0
3581,rushing,in a hurry,1
3582,markers,gauges,0
3583,researches,findings,1
3584,nowadays,here today,0
3585,formulating,developmental,1
3587,widely,all around,1
3589,thrilled,absolutely delighted,0
3590,chapters,a branch,1
3592,transmitting,be transferred,1
3593,that stuff,that,0
3596,functioning,are working,1
3597,the marine,navy,1
3599,pollution,contamination,0
3601,emergence,a way out,1
3602,increase,going up,1
3603,watching,to look at,1
3604,saturdays,last saturday,0
3605,the taiwan authorities,taiwanese,1
3608,reject,give up on,1
3610,preparing for,preparedness,0
3611,walk out,leave,1
3613,fibers,cables,1
3617,public housing estates,estate,1
3618,individuals,individually,1
3619,get them,acquire,0
3620,briefly,a brief,1
3621,schools,elementary school,0
3622,shuts,closed,1
3625,can win,beat,0
3626,the protection of,cover,1
3628,touched upon,outlined,1
3629,pork,meat,1
3630,tuition,charges,1
3631,sorts,groupings,0
3632,supplied,handed down,1
3633,launched,is released,1
3634,was denied,shunned,0
3635,multiply,adding to,1
3638,rescued,recovered,0
3639,matrimony,knot,1
3641,slowing down,slowed,0
3642,politician,policymaking,0
3644,the johannesburg summit,johannesburg,1
3646,the appeal,petitions,1
3647,desertification,desert,1
3648,seeking,intended to,0
3649,the agency,administration,0
3652,prom,ball,0
3653,in a car accident,crashed,1
3654,young man,junior,0
3655,the land,mainland,0
3656,the studies,researching,0
3657,the executive,governors,1
3658,increase,further increases,0
3659,governors,a president,1
3660,hectic,cluttered,0
3661,stated,saying that,1
3663,the little,few,1
3664,era,a period,1
3665,opposed,disapproved,1
3666,greatly,famously,1
3668,proposing,are offering,1
3669,st.,sainte,1
3670,confiscated,be seized,1
3671,refugees,aliens,1
3672,the appeal,hearing,1
3674,shocked,amazed,1
3675,3.30,3.3,1
3676,6th,6:00,0
3677,our businesses,industries,0
3678,the weekend,saturdays,1
3679,its population,australians,1
3681,belt,band,0
3683,1957th,1957,1
3684,relatively small,limited,1
3685,waiting for,expects,1
3686,very few,few,1
3687,was rejected,shunned,0
3688,to assist,support,1
3689,tides,swells,1
3690,the lebanese,lebanon,1
3691,publish,is released,0
3692,the purchase,shopping,1
3694,increase,has been growing,1
3696,weekend,day,1
3698,shunned,should be rejected,1
3699,bills,a note,0
3700,the customer,buyer,1
3701,public deficits,deficits,1
3702,myriam,miriam,1
3703,scrambled,jammed,1
3704,relieve,cushion,1
3706,the pills,tablets,0
3707,canada,a canadian,0
3708,turned back,reverse,0
3710,the inquiry,researches,1
3711,evolutionary,developmental,1
3712,amazed,'s quite a ... ... surprise,0
3713,the convict,offenders,0
3714,rampant,prevalent,1
3715,discussions,discuss the issue,1
3716,custody,childcare,1
3717,the washer,machines,0
3718,treasures,assets,1
3719,measures,efforts,1
3720,increase,advancing,0
3722,photo,a poster,0
3724,waiting,queue,0
3725,subsidies,allowance,1
3726,the strong,powerful,1
3727,promoters,presenters,1
3728,was saying,tell,1
3730,imagined,envisioned,0
3732,rose,has increased,0
3733,normally,most cases,0
3734,skip,jumping,1
3735,kid,a young age,0
3736,valued,treasured,0
3737,thinks,'ve been thinking,0
3738,smaller,fewer,1
3739,trend,path,1
3740,snapped,lost your marbles,0
3741,observers,observer states,0
3742,highest,expensive,0
3745,rampant,chronic,1
3746,the eruption,outbreaks,1
3748,possibly,made possible,0
3751,hungary 's,hungarian,1
3752,the stress,tensions,0
3753,households,canadian households,0
3754,saintly,sacred,1
3756,the bombs,missile,0
